doc,kind,title,line_start,line_end,scripts,hash,last_changed
introduction,front,(front matter),1,139,v1_e8_glue.py;v3_em_alpha.py,f6539c898ae3,2026-06-24
introduction,section,What this is about: the jump in construction principle,140,142,,04fdafccd10b,2026-06-12
introduction,subsection,In plain words,143,180,v353_selfloop_capstone.py,5df81b3808e2,2026-07-22
introduction,subsection,"Sharper still: one anchor $a=(1,1,2)$, and $E_8$ as a compiler hull \texorpdfstring{(\mE)}{}",181,321,v119_review_validation_2.py;v189_riemann_roch_carrier.py;v197_rr_carrier_clifford_d5.py;v23_anchor_generator.py;v491_p2_partition_corollary.py;v499_p2_weights_deligne_bg.py;v503_qgeo_emergence_light.py;v506_seam_clock_rigidity.py;v507_seam_bit_origin.py;v510_seam_bit_freedom.py;v512_seam_tau_flag.py;v972_seam_interaction_front.py,f129f76d8eb0,2026-08-27
introduction,subsection,The companion documents,322,354,,f5ae4dcb0423,2026-08-30
introduction,section,The architecture at a glance,355,433,,c457aefc1cb7,2026-06-12
introduction,section,The dependency DAG and the proof ledger,434,492,,fe77a4e2e658,2026-06-12
introduction,subsection,The compact status formula: three honest layers,493,527,v14_carrier_uniqueness.py;v56_unique_attractor.py;v60_lambda_metrology_branch.py;v6_bootstrap.py,6314a2168351,2026-08-30
introduction,subsection,The hard reduction: the live residual as typed interfaces,528,825,v1000_spin2_sk_witnesses.py;v1001_nu_pentagon_chain.py;v1004_milnor_frobenius_gray.py;v1005_relative_pencil_bridges.py;v1006_mmst_lemma_battery.py;v1007_det16_stability_battery.py;v1008_master_assembly_scaffold.py;v1009_rho0_minimizer.py;v1010_simplicity_bridge_census.py;v1011_3p1d_ladder_battery.py;v1012_toe_gate_witnesses.py;v1013_thermodynamic_dynamics.py;v1014_bridge_refinements.py;v1015_axiom_core_closure.py;v1016_state_gap_batteries.py;v1017_kernel_loewner_positivity.py;v1018_e8_directed_readout.py;v1019_coxeter_euler_completion.py;v1026_telb_round4_closure.py;v1027_signed_det_car_wall.py;v1028_gauss_d4_cap.py;v1029_local_tensor_constraints.py;v1030_alg2_sector_frame.py;v1031_quantum_tensor_curvature.py;v1032_covariant_curvature.py;v1033_charged_disorder.py;v1034_parent_mirror.py;v1035_matter_coupling.py;v14_carrier_uniqueness.py;v219_icosahedral_mckay.py;v232_e8_kleinian_seam.py;v234_seam_holomorphy_selection.py;v235_seam_chern_simons.py;v23_anchor_generator.py;v335_seam_equiv_unify.py;v36_spectral_action_g2.py;v6_bootstrap.py;v993_minimal_defect_selector.py;v994_mmst_criteria_battery.py;v995_kms_subnet_rigidity.py;v996_gauge_grammar_kill.py;v997_spin2_smg_witnesses.py;v998_seam_modular_closure.py;v999_weak_collision_hp.py,6d80c35acaa5,2026-09-05
introduction,section,The compiler: why $30=2\cdot3\cdot5$,826,896,v219_icosahedral_mckay.py;v223_coxeter_totative_clock.py;v298_e8_network_attractor.py;v299_hypergraph_0d_autonomous.py;v312_hypergraph_substrate.py;v324_hypergraph_fiber.py;v327_hypergraph_rewrite.py;v395_hypergraph_coupled.py;v396_phi0_icosahedral.py,d7ace62c85ab,2026-06-24
introduction,section,The $\mu_4$ glue: how $E_8$ is really built,897,921,v1_e8_glue.py,e76c4fe33c1d,2026-06-12
introduction,section,How derivation now works: the derivation map,922,960,,14e40212ef8c,2026-06-12
introduction,subsection,Cosmology is the Pascal action grammar of the carrier,961,997,v18_quark_yukawa.py;v20_lepton_c_derivation.py;v46_grand_mass_volume.py,3f28610d2349,2026-06-24
