id,name,type,status,alive,attempt_count
4d-lattice-contract,Four-dimensional lattice dynamics contract,OBJECT,OPEN,false,0
additive-adeles,Additive adeles,GEOMETRY,CLASSICAL,false,0
adele-class-space,Adele class space,GEOMETRY,CLASSICAL,false,0
admissible-os-positive-measure,Admissible OS positive measure,OPERATOR,PROVED_HERE,false,0
analytic-object,Analytic object,CLASS,CLASSICAL,true,1
arakelov-intersection,Arakelov intersection theory,GEOMETRY,CLASSICAL,false,0
arch-rate,Archimedean rate identity,THEOREM,PROVED_HERE,true,2
archimedean-dominance,Archimedean dominance criterion,CRITERION,CLASSICAL,false,0
archimedean-place,Archimedean place of Q,OBJECT,CLASSICAL,true,1
arithmetic-geometry,Arithmetic geometry,CLASS,CLASSICAL,false,0
arithmetic-hodge-index,Arithmetic Hodge index theorem,THEOREM,CLASSICAL,true,0
arithmetic-topology-prime-knots,Arithmetic topology of primes and knots,GEOMETRY,CLASSICAL,false,0
baez-duarte-criterion,Báez-Duarte criterion,CRITERION,CLASSICAL,true,2
barrier-arch-compensation,Archimedean compensation,BARRIER,KILLED_HERE,false,0
barrier-circularity,Renamed RH-equivalent / circularity,BARRIER,KILLED_HERE,true,10
barrier-finite-window-ceiling,Finite-window ceiling / Landau–Widom decay,BARRIER,KILLED_HERE,false,0
barrier-lossy-constant,Lossy constant,BARRIER,KILLED_HERE,false,0
barrier-no-bridge,No bridge,BARRIER,KILLED_HERE,false,0
barrier-nonreal-cofactor-zeros,Non-real cofactor zeros,BARRIER,KILLED_HERE,false,0
barrier-p2-defect,p=2 defect,BARRIER,KILLED_HERE,false,0
barrier-pick-sign,Pick-sign violation,BARRIER,KILLED_HERE,false,0
barrier-pole-mode,Pole mode uncontrolled,BARRIER,KILLED_HERE,false,0
barrier-prime-phase-coherence,Prime-phase coherence,BARRIER,KILLED_HERE,false,0
barrier-structural-mismatch,Structural mismatch,BARRIER,KILLED_HERE,false,0
barrier-unimodularity,Unimodularity / no half-density,BARRIER,KILLED_HERE,true,1
barrier-world-blind,World blindness,BARRIER,KILLED_HERE,true,3
barrier-zero-denominator,Zero-bearing denominator,BARRIER,KILLED_HERE,false,0
berkovich-bruhat-tits-geometry,Berkovich and Bruhat-Tits local geometry,GEOMETRY,CLASSICAL,false,0
bernstein-function,Bernstein function,CLASS,CLASSICAL,false,0
berry-keating-dilation,Berry–Keating dilation Hamiltonian,METHOD,CONJECTURAL,false,0
berry-keating-xp,Berry–Keating xp Hamiltonian,OPERATOR,CONJECTURAL,false,0
beurling-deny-criterion,Beurling–Deny criterion,CRITERION,CLASSICAL,true,1
bohr-lift,Bohr lift,METHOD,CLASSICAL,false,0
bost-connes-kms-system,Bost–Connes KMS system,OBJECT,CLASSICAL,false,0
bost-connes-system,Bost–Connes system,OBJECT,CLASSICAL,false,1
bruhat-tits-tree,Bruhat–Tits tree of PGL₂(Qₚ),GEOMETRY,CLASSICAL,false,0
canonical-system-hamiltonian,Zeta canonical-system Hamiltonian,OPERATOR,OPEN,false,0
carlson-theorem,Carlson uniqueness theorem,THEOREM,CLASSICAL,true,0
causal-spin-network-geometry,Causal-set and spin-network geometry,GEOMETRY,CLASSICAL,false,0
census-qsm,E8 census quantum statistical system,OBJECT,OPEN,false,0
