src,dst,rel,strength
4d-lattice-contract,no-canonical-integer-label,BLOCKED_BY,CONDITIONAL
4d-lattice-contract,analytic-object,INSTANCE_OF,HEURISTIC
4d-lattice-contract,qca-dilation,REQUIRES,CONDITIONAL
4d-lattice-contract,event-log-function,WOULD_CLOSE,CONDITIONAL
absolute-twistor-line,arithmetic-geometry,INSTANCE_OF,HEURISTIC
absolute-twistor-line,all-place-tate-weil-realization,REQUIRES,HEURISTIC
additive-adeles,fourier-transform,DUAL_TO,THEOREM
additive-adeles,arithmetic-geometry,INSTANCE_OF,HEURISTIC
additive-adeles,explicit-formula,REDUCES_TO,THEOREM
adele-class-space,arithmetic-geometry,INSTANCE_OF,HEURISTIC
adele-class-space,additive-adeles,REQUIRES,CONDITIONAL
admissible-os-positive-measure,no-archimedean-prime-joint-space,BLOCKED_BY,CONDITIONAL
admissible-os-positive-measure,spectral-framework,INSTANCE_OF,HEURISTIC
all-place-tate-weil-realization,fixed-finite-carrier-rank-obstruction,BLOCKED_BY,CONDITIONAL
all-place-tate-weil-realization,research-question,INSTANCE_OF,HEURISTIC
all-place-tate-weil-realization,arakelov-intersection,REQUIRES,CONDITIONAL
all-place-tate-weil-realization,arithmetic-hodge-index,REQUIRES,CONDITIONAL
all-place-tate-weil-realization,open-global-all-place-intersection,REQUIRES,CONDITIONAL
all-place-tate-weil-realization,weil-quadratic-form,WOULD_CLOSE,CONDITIONAL
analytic-object,experiments/tfpt-discovery/door_b_lambda_transport_probe.py,USED_BY,HEURISTIC
arakelov-intersection,arithmetic-geometry,INSTANCE_OF,HEURISTIC
arakelov-intersection,arithmetic-hodge-index,REQUIRES,THEOREM
arch-rate,analytic-object,INSTANCE_OF,HEURISTIC
arch-rate,weil-arch-term,REDUCES_TO,CONDITIONAL
arch-rate,rh/problem/arch_rate.pdf,USED_BY,HEURISTIC
arch-rate,rh/problem/arch_rate.tex,USED_BY,HEURISTIC
archimedean-dominance,weil-positivity,EQUIVALENT_TO,THEOREM
archimedean-dominance,positivity-criterion,INSTANCE_OF,HEURISTIC
archimedean-dominance,lstar-statement,REDUCES_TO,CONDITIONAL
archimedean-place,analytic-object,INSTANCE_OF,HEURISTIC
archimedean-place,experiments/tfpt-discovery/moonshot_arch_glue_probe.py,USED_BY,HEURISTIC
arithmetic-hodge-index,analytic-object,INSTANCE_OF,HEURISTIC
arithmetic-hodge-index,weil-conjectures,REQUIRES,CONDITIONAL
arithmetic-topology-prime-knots,arithmetic-geometry,INSTANCE_OF,HEURISTIC
arithmetic-topology-prime-knots,deninger-foliated-dynamics,REQUIRES,HEURISTIC
baez-duarte-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
baez-duarte-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
baez-duarte-criterion,nyman-beurling-criterion,SPECIAL_CASE_OF,THEOREM
baez-duarte-criterion,experiments/tfpt-discovery/baez_duarte_probe.py,USED_BY,HEURISTIC
baez-duarte-criterion,verification/v667_baez_duarte.py,USED_BY,HEURISTIC
baez-duarte-rate-conjecture,baez-duarte-criterion,IMPLIES,THEOREM
baez-duarte-rate-conjecture,research-question,INSTANCE_OF,HEURISTIC
barrier-arch-compensation,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-circularity,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/signed_border_mean_probe.py,KILLED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/source_weyl_energy_probe.py,KILLED_BY,HEURISTIC
barrier-circularity,rh/problem/signed_border_mean.pdf,KILLED_BY,HEURISTIC
barrier-circularity,rh/problem/signed_border_mean.tex,KILLED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/e8_kms_schur_parent_probe.py,USED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/exclusion_zero_locator_probe.py,USED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/lk_split_theta_probe.py,USED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/signed_border_mean_probe.py,USED_BY,HEURISTIC
barrier-circularity,experiments/tfpt-discovery/source_weyl_energy_probe.py,USED_BY,HEURISTIC
barrier-circularity,rh/problem/signed_border_mean.pdf,USED_BY,HEURISTIC
barrier-circularity,rh/problem/signed_border_mean.tex,USED_BY,HEURISTIC
barrier-circularity,rh/problem/source_weyl_energy.pdf,USED_BY,HEURISTIC
barrier-circularity,rh/problem/source_weyl_energy.tex,USED_BY,HEURISTIC
barrier-circularity,rh/problem/verify_signed_border.py,USED_BY,HEURISTIC
barrier-finite-window-ceiling,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-lossy-constant,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-no-bridge,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-nonreal-cofactor-zeros,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-p2-defect,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-pick-sign,obstruction-class,INSTANCE_OF,HEURISTIC
